,processed,label
0,say state official shut airport,neg
1,dont get see avril lavigne next week fuck coronavirus gon word,neg
2,hotel use quarantine collapse least people trap,neg
3,sad indeed hysteria worst hope food basic staple dont think people pocket,neg
4,introvert cut edge social distancing,neg
5,really bad feeling gon long gap tonight game,neg
6,fuck astrology whatever real personality test whats coronavirus hand washing song,neg
7,give idea life quarantine miss,neg
8,positive doctor expose least montgomery county resident virus,neg
9,maryland update patient test covid covid test pending negative covid,neg
10,sure talk coronavirus possibly spread pipe assume,neg
11,heaven forbid something actually dangerous would threaten populous reaction coronavirus control,neg
12,please stop announcement relate corona virus make call frustrating,neg
13,watch medias long history call covid wuhan viruscoronavirus,neg
14,stigmabase government power shut entire city would stop coronavirus oncebus,neg
15,disgraced televangelist promote alleged cure coronavirus missouri sue washington post,neg
16,bring adult child hope doesnt get cancel due corona virus,neg
17,indian well tennis tournament cancel due coronavirus concern,neg
18,something wrong coronavirus pandemic obvious issue,neg
19,irish cinema chain leaf seat empty combat coronavirus,neg
20,break news due corona virus monday night hockey allow spectator tho,neg
21,yes country expect get coronavirus cant wait,neg
22,travel warn extend spain france germany austria switzerland due covid baltic time,neg
23,kind ridiculous bad thing need worry catch prostitute coronavirus,neg
24,journalist undercover wet market star via,neg
25,news would near believe coronavirus threat bad past newry,neg
26,penny ask american public common sense thing know help limit spread coronavirus look vulnerable senior,neg
27,suspect coronavirus patient miss zimbabwe hospital,neg
28,confuse instruction survive coronavirus avoid physical contact human sel,neg
29,left use coronavirus finally get rid poor,neg
30,close downwe stop trump talk coronavirus ltsarcasmgt,neg
31,paul biya cameroon military bad corona virus million people die military,neg
32,tell feel like get sick hit get coronavirus,neg
33,never use public loo never buy loose food item basically,neg
34,today one bad day history corona virus fear bring,neg
35,holy shit trump withhold coronavirus test kit governor,neg
36,well number wuhan coronavirus isnt scary advertised give result diamond,neg
37,many restaurant difficult run due effect coronavirus maybe friend,neg
38,bible truck catch fire coronavirus australia lorryload toilet paper catch fire,neg
39,coronavirus recession could extra painful suddenness,neg
40,people stock toilet paper corona virus cause chorro wtf,neg
41,china halt coronavirus use social nuclear weapon extreme measure daily mail online,neg
42,new postpones patrick day parade due coronavirus outbreak news,neg
43,niggas worry get intoxicate coronavirus check bitch phone daily worry wrong toxic,neg
44,still new oregon coronavirus case day state laboratory find via,neg
45,nba might allow fan attend game due possible outbreak corona virus sit happy,neg
46,want fuck slap every single person make mexican beer joke reference coronavirus yall aint,neg
47,reason believe cold weather kill new coronavirus diseases normal human,neg
48,fake manufacture crisis call coronavirus,neg
49,coronavirus dozen trap china quarantine hotel collapse build nuclear power station,neg
50,much still unknown covid several person use social spread false information abou,neg
51,ridiculous people worldwide infect coronavirus population planet billion,neg
52,port authority director test positive coronavirus uhoh must mean entire,neg
53,report outbreak idiocy spread time faster coronavirus via,neg
54,lebron james aint play league play game without fan due coronavirus concern national basketba,neg
55,bad eat raw coronavirus though,neg
56,want say something stop silly come coronavirus,neg
57,incredibly hard find following basic information lethality age group coronavirus lethality,neg
58,virus kill already dead inside,neg
59,hey see sneeze something cold coronavirus want cold instead hit,neg
60,unnecessary uncalled medium cause,neg
61,council foreign relation roundtable call business coronavirus cancel due,neg
62,china medium start spread fake news say coronavirus usa guy clarify news,neg
63,think may much long incubation periodwhich would mean quarantine short,neg
64,medium outlet dangerous world blatant racism lie,neg
65,sorry right corona virus useless government,neg
66,world die corona virus leave dead national population,neg
67,break leg probably save corona virus like guy wake,neg
68,think flu shot work corona virus shut fuck,neg
69,sniffle minor cough flatmate office also close due sick recentl,neg
70,source ivy league cancel conference tournament due coronavirus regular season champion yale,neg
71,mart ches tara something hear everyday need take coronavirus conversation,neg
72,tell pub landlady corona virus black swan event crash stockmarkets bring,neg
73,blame crisis major put action plan place month,neg
74,well guess coronavirus decide postpone japan trip later year fuck ill,neg
75,kusumbu thaan think say bail govt save money due corona virus,neg
76,paracetamol handwash toilet roll store run stock,neg
77,one hand dont want coronavirus austin hand likely get soon anyway,neg
78,believe medium coronavirus fake news trump,neg
79,coronavirus covid mean people multiple sclerosis trust,neg
80,something weird,neg
81,fauci outlook thing get bad via ask rep carolyn,neg
82,paraguay say suspend public school day due coronavirus,neg
83,marco rubio little hand work big thing tell party something coronavirus,neg
84,usa less infection cancel event like tennis concert fourt,neg
85,emergency question coronavirus protection public especially vulnerable,neg
86,taped message phone awareness corona virus irritatingly,neg
87,coronavirus shit anxiety world like bitch search symptom virus saw,neg
88,flight cancel due coronavirus booking make online,neg
89,friend office building london close evacuate today one person find coronavirusmay,neg
90,alright theyve close gym notice due coronavirus epidemic need home workout suggestion video,neg
91,moron mock coronavirus amp someone district die virus idiot,neg
92,watford postpone adrian mariappa event due coronavirus outbreak,neg
93,chinese scientist say theres second coronavirus strain los angeles time terrible,neg
94,travel coronavirus affect city budget rely heavily tourism tax mayor say chicago sunt,neg
95,half britain coronavirus patient send home,neg
96,news synthplex postpones due coronavirus concern,neg
97,cant wait payroll tax jump coronavirus slow motion,neg
98,sheer obsessive hysteria idiocy disregard common sense problem virus,neg
99,one person asks army gon corona virus shit mad annoy,neg
100,sxsw cancel kperson conference due coronavirus,neg
101,president dangerous coronavirus position,neg
102,whats chance london cancel due coronavirus,neg
103,odd anyone state big outbreak blue state,neg
104,worldwide almost people die car accident every day yet panic coronavirus kill less,neg
105,american reporter wonder african country coronavirus case cnn,neg
106,might doable long dont self immolate coronavirus recession depression,neg
107,fuck coronavirus dont let human party,neg
108,coronavirus force change birthday programme obasanjo,neg
109,arent afraid might get coronavirus,neg
110,rapidlyspreading coronavirus evolve day ago february one confirm,neg
111,train precaution take due coronavirus talk,neg
112,imagine law school nationwide would move online lecture corona virus would single handedly kill socratic method,neg
113,corona virus nana ama attach sammy give broken heart,neg
114,probably half million corona virus case end next week,neg
115,someone post say whoever drink water hose child immune coronavirus dead,neg
116,corrupt islamic republic iran deliberately spread coronavirus kill people massacre iranian,neg
117,shortage med supply outbreak irgc profit black market,neg
118,coronavirus outbreak fear bitcoin slump past week,neg
119,please remember corona virus around year common cold youve probably,neg
120,japan league suspension extend april due ongoing coronavirus crisis could porten,neg
121,judgement day upon lmaoo coronavirus amp fucking meteor april,neg
122,turn good time run toilet roll soap one wash hand coronavirus outbreak,neg
123,event cancel due corona virus situation,neg
124,wtic uso goldman say coronavirus oil price war could see crude plunge,neg
125,clearly waay behind test,neg
126,coronavirus bullshit make feel like literally descend hell version outdated,neg
127,people put thing ahead prevention spread covid see timel,neg
128,adidas ceo coronavirus outbreak painful setback cnbc,neg
129,seventh post coronavirus die summer,neg
130,video least kill miss tennessee tornado video coronavirus italy close school,neg
131,behind speecheless complete overreaction coronavirus see right seriously wrong,neg
132,coronavirus devastate travel tourism industry sad,neg
133,catholic university plan home class due tocoronavirus,neg
134,msnbc host say call coronavirus wuhan virus racist fox news silly,neg
135,matt tissiers helpful comment coronavirus look forward hear pundit give opinion,neg
136,common cold type coronavirus dont think would unrelated,neg
137,light camera action hollywood rock coronavirus breitbart,neg
138,jinping finally visit wuhan miss city bad coronavirus moment via,neg
139,two coronavirus victim,neg
140,kenike rock vee sunglasses mask avoid deadly corona virus wan protect,neg
141,time coronavirus sorry,neg
142,gamer isnt afraid coronavirus cant catch anything always home,neg
143,man sell toilet paper online thousand amid coronavirus panic,neg
144,hypothetically train cancel due coronavirus would advance ticket fully refund,neg
145,maybe cancel debate due coronavirus save nursing home joe face case tds,neg
146,old dominion pull next week due concern coronavirus,neg
147,holy fuck everyone around irl stfu corona virus hear lately matter,neg
148,complete shutdown university due covid impossible,neg
149,italy case dead case dead germany case dead,neg
150,nhl san jose shark home game might play empty arena due coronavirus warning,neg
151,official coronavirus number wrong everyone know,neg
152,long week deal corona virus impact,neg
153,trump response coronavirus shockingly sluggish compare country report,neg
154,corona virus tour long artisti hate,neg
155,survive despite trump horrible handling wont vote,neg
156,coronavirus covid ncov already kill people iran infect,neg
157,fuck bitch name corona virus,neg
158,report explode employee unable work tomorrow completely unrelated note,neg
159,holy fck thats close like family trap hospital ward coronavirus lockdown,neg
160,mullah virus ian protester condemn regime coronavirus response failure via,neg
161,scientistresearcher experiment kill coronavirus use bacteriophage kill,neg
162,left weaponize coronavirus attempt destroy president trump blog lifesite,neg
163,coronavirus fuck tard,neg
164,dirty little hoe gon catch corona virus quick,neg
165,health system show ready coronavirus pandemic,neg
166,hear indian well tennis cancel year due coronavirus,neg
167,grandmother trap aboard coronavirushit cruise ship believe way back,neg
168,damnn bro thats crazy wan see famous youtuber corona virus,neg
169,hurry iran help late control corona virus tomorrow,neg
170,however stand eerily foretell coronavirus coverage take long repetitive overuse stoc,neg
171,course start feel sick university make recent concern post coronavirus hop,neg
172,like medium speak thread amp real issue rather endless loop coronavirus,neg
173,coronavirus effect apple change clean guideline iphones product,neg
174,nhs tackle coronavirus fake news online,neg
175,trump aid abet trump dangerous lie make stats righ,neg
176,anyone else think strange child infect coronavirus,neg
177,somebody need develop online coronavirus affect spread hate others,neg
178,fake news youve expose coronavirus need self quarantine yet youre,neg
179,northshore district school close week minimize coronavirus spread,neg
180,tell mike leavitt wrong answer coronavirus serious give political template answer,neg
181,deep cleaning house bleach night corona virus wishess could fuck,neg
182,kiss cancel meet greets due coronavirus,neg
183,heavy breathing wonder corona virus,neg
184,pay attention corona virus focus fact sad state affair safer china,neg
185,coronavirus stop spread hatred virus even bad thing universe goo,neg
186,tokyo olympics could postpone due coronavirus outbreak,neg
187,order prevent spread coronavirus need sing albuquerque weird yankovic wash hand,neg
188,get corona virus north korea straight shoot shit awful,neg
189,people dont look elderly look middle age,neg
190,chaos hospital due shortage coronavirus test,neg
191,mother nature still call shot world coronavirus harsh reminder,neg
192,chinese coronavirus try stoke hate,neg
193,taiwanese trap sue taiwan government chinese governmen,neg
194,wrong coronavirus test,neg
195,misquote howard know coronavirus serious issue blame,neg
196,stay inside dont worry corona virus bad enemy come heat,neg
197,empty eatery stall supply coronavirus hurt local business via,neg
198,corona virus kill people around globe world caliber disaster obama biden pred,neg
199,hodgson admit would little choice follow coronavirus protocol footybot,neg
200,girl class omg corona virus death rate teacher yeah less deadly,neg
201,another coronavirus casualty weird state song corona,neg
202,nba team warn may play front empty crowd coronavirusoutbreak,neg
203,lab employee face disciplinary action coronavirus falseclaims,neg
204,blame covid jump ship leave crazy bernie crazy biden,neg
205,pearl jam postpones north american tour due coronavirus telegram,neg
206,past winter give pink eye reinfected like three time row theres way get coronavirus,neg
207,completely wrong cant see end someone sight,neg
208,airplane fly nearly empty due corona virus outbreak airline really gon spend money,neg
209,another note coronavirus recently start become threat job thats nice,neg
210,due coronavirus apple postpone launch iphone immediately launch imask,neg
211,china coronavirus recovery fake whistleblower resident claim,neg
212,premier league match play behind closed door coronavirus outbreak sheffield unite,neg
213,fail expect say coronavirus hoax liar chief,neg
214,major european sport game hold behind closed door due coronavirus fear,neg
215,coronavirus big pile shit never get check return venice thursday situ,neg
216,new report case coronavirus chinas hubei province friday except,neg
217,gathering indonesian whose gov lackadaisical detect manage covid dangerous,neg
218,mayor bill blasio coronavirus close school online class kid preexiste,neg
219,analysis coronavirus give dhaka excuse avoid embarrassment antimodi protest via,neg
220,single person ive fuck coronavirus correlation address,neg
221,reschedule think corona virus,neg
222,scientist close coronavirus vaccine year ago money dry via,neg
223,traveler frustrate confuse airline coronavirus cancellation via,neg
224,fairfax county hospitalize person age take nile river cruise,neg
225,long take trump steal billion congress earmark specifically amp,neg
226,honest piece sadly foreboding corruption three year spread coronaviruslike pandemic,neg
227,coronavirus black swan sequoia,neg
228,tip work home due coronavirus test gear,neg
229,coronavirus victim walk memphis yesterday quarantine,neg
230,fuckin dumb corona virus isnt even spread air one problem united state,neg
231,coronavirus parabolic china shut everything stay home usa vietnam,neg
232,friend mom extra crazy abt coronavirus lately last night send pamphlet thingy,neg
233,coronavirus school closing dont wait late,neg
234,hate school actual coronavirus patient hospital still aint doin shit preventive measure,neg
235,people unfair coronavirus investigation flu,neg
236,show incompetent trump coronavirus task force let president engage several peo,neg
237,okay corona virus stop yall eat chinese food travelling hiv isnt stop yall fuck raw,neg
238,bbc news coronavirus trap virusstruck care home,neg
239,dont know citizen definitely strike stock market sensex point wit,neg
240,suspend ghost flight rule due,neg
241,corona virus excuse reason,neg
242,trump look physically sick squander time trump administration lose control coronavirus crisis,neg
243,hate coronavirus ruin everything well april sxsw sonic rebound,neg
244,soldier disinfect train station daegu south korea center country coronavirus outbreak,neg
245,blame crisis major put action plan plac,neg
246,live event cancel due deliver remotely people around world usin,neg
247,hate consider outrage president trump handling think war,neg
248,hear tough stretch late italy coronavirus run rampant disrupt normal life,neg
249,coronavirus put shanghai coma,neg
250,current case fatality rate lombardy thing get even bad case fatality,neg
251,nace international postpones annual conference due coronavirus,neg
252,household product destroy novel coronavirus consumer report,neg
253,coronavirus brexit trade talk set shelve due outbreak reveals indication,neg
254,kim jong trump strike back trump coronavirus press event even bad look,neg
